,tconst,averageRating,numVotes,startYear,runtimeMinutes,genres,titleType,primaryTitle,budget,id,popularity,poster_path,production_countries,revenue,overview,production_companies_name
3425,tt0117582,5.6,2528,1996,95,"Drama,Thriller",movie,The Secret Agent,0,47199,2.323,/6DO2BO3qp5QAyd91se4h22qifj.jpg,GB,0,"In 1880s London, pornographic bookseller Verloc is a double agent for the Russian government, providing information to Chief Inspector Heat about a lazy anarchist organization. In order for the anarchists to be arrested, an act of terrorism must occur. So Verloc decides to set up bombs – which leads to tragedy – not only for himself but also for his family, including wife Winnie and brother-in-law, Stevie.","['Capitol Films', 'World Film Music Limited', '20th Century Fox']"
3426,tt0117582,5.6,2528,1996,95,"Drama,Thriller",movie,The Secret Agent,0,47199,2.323,/6DO2BO3qp5QAyd91se4h22qifj.jpg,GB,0,"In 1880s London, pornographic bookseller Verloc is a double agent for the Russian government, providing information to Chief Inspector Heat about a lazy anarchist organization. In order for the anarchists to be arrested, an act of terrorism must occur. So Verloc decides to set up bombs – which leads to tragedy – not only for himself but also for his family, including wife Winnie and brother-in-law, Stevie.","['Capitol Films', 'World Film Music Limited', '20th Century Fox']"
3427,tt0117968,6.8,1499,1996,123,"Comedy,Crime,Fantasy",movie,Three Lives and Only One Death,500000,55049,3.146,/v5zPLrTdFWox2AO7aTytgVhmdoU.jpg,"PT, FR",0,"Four intertwining stories of bizarre occurrences in Paris featuring a man who was stolen away by fairies, a professor who becomes a tramp, the lovers who inherit a chateau – and the last tale that connects all that has gone before.","['Gemini Films', 'La Sept Cinéma', 'Madragoa Filmes', 'CNC', 'Canal+']"
3428,tt0117968,6.8,1499,1996,123,"Comedy,Crime,Fantasy",movie,Three Lives and Only One Death,500000,55049,3.146,/v5zPLrTdFWox2AO7aTytgVhmdoU.jpg,"PT, FR",0,"Four intertwining stories of bizarre occurrences in Paris featuring a man who was stolen away by fairies, a professor who becomes a tramp, the lovers who inherit a chateau – and the last tale that connects all that has gone before.","['Gemini Films', 'La Sept Cinéma', 'Madragoa Filmes', 'CNC', 'Canal+']"
3429,tt0117968,6.8,1499,1996,123,"Comedy,Crime,Fantasy",movie,Three Lives and Only One Death,500000,55049,3.146,/v5zPLrTdFWox2AO7aTytgVhmdoU.jpg,"PT, FR",0,"Four intertwining stories of bizarre occurrences in Paris featuring a man who was stolen away by fairies, a professor who becomes a tramp, the lovers who inherit a chateau – and the last tale that connects all that has gone before.","['Gemini Films', 'La Sept Cinéma', 'Madragoa Filmes', 'CNC', 'Canal+']"
3430,tt0118003,6.0,798,1996,102,Sci-Fi,movie,Tykho Moon,0,39315,2.775,/vRC9o4x7QPmTcVT9pugMFtDQk3l.jpg,"FR, DE, GB",0,"The McBee family has erected a government over a future 'colony', that looks like a run-down Paris divided into sectors by the Berlin Wall. All male family members suffer from a mysterious disease and are in urgent need of organ transplants. The perfect donor, Tykho Moon, probably has been killed in a fire, but according to rumours he's still alive. Although assassins stalk the family members, the McBees start a hunt for Tykho. Trying to escape the dragnet, Alex, a sculptor, meets Lena, a killer posing as a whore.","['Salomé', 'Black Forest Films', 'Nova Films']"
3431,tt0118003,6.0,798,1996,102,Sci-Fi,movie,Tykho Moon,0,39315,2.775,/vRC9o4x7QPmTcVT9pugMFtDQk3l.jpg,"FR, DE, GB",0,"The McBee family has erected a government over a future 'colony', that looks like a run-down Paris divided into sectors by the Berlin Wall. All male family members suffer from a mysterious disease and are in urgent need of organ transplants. The perfect donor, Tykho Moon, probably has been killed in a fire, but according to rumours he's still alive. Although assassins stalk the family members, the McBees start a hunt for Tykho. Trying to escape the dragnet, Alex, a sculptor, meets Lena, a killer posing as a whore.","['Salomé', 'Black Forest Films', 'Nova Films']"
3432,tt0118003,6.0,798,1996,102,Sci-Fi,movie,Tykho Moon,0,39315,2.775,/vRC9o4x7QPmTcVT9pugMFtDQk3l.jpg,"FR, DE, GB",0,"The McBee family has erected a government over a future 'colony', that looks like a run-down Paris divided into sectors by the Berlin Wall. All male family members suffer from a mysterious disease and are in urgent need of organ transplants. The perfect donor, Tykho Moon, probably has been killed in a fire, but according to rumours he's still alive. Although assassins stalk the family members, the McBees start a hunt for Tykho. Trying to escape the dragnet, Alex, a sculptor, meets Lena, a killer posing as a whore.","['Salomé', 'Black Forest Films', 'Nova Films']"
3433,tt0118020,7.2,3218,1996,107,"Comedy,Drama",movie,A Self-Made Hero,0,48580,3.98,/kq8aRQHSQyyFTEfGNgOjaTuxkQ5.jpg,FR,0,Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator.,"['Alicéléo', 'Cofimage 7', 'Lumière', 'Studio Images 2', 'France 3 Cinéma', 'M6 Films', 'Initial Groupe']"
3434,tt0118020,7.2,3218,1996,107,"Comedy,Drama",movie,A Self-Made Hero,0,48580,3.98,/kq8aRQHSQyyFTEfGNgOjaTuxkQ5.jpg,FR,0,Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator.,"['Alicéléo', 'Cofimage 7', 'Lumière', 'Studio Images 2', 'France 3 Cinéma', 'M6 Films', 'Initial Groupe']"
